basis_columns,prediction_columns,rmse,,
"['Fuel Type', 'Electric Mile Range']","['Vehicle Category', 'Model Year', 'CPI', 'Fuel Technology', 'GVWR Class']",14746.39373,,
"['Fuel Type', 'Electric Mile Range']","['Vehicle Category', 'Model Year', 'CPI', 'GVWR Class', 'Region']",14746.40405,,
"['Electric Mile Range', 'Fuel Type']","['Region', 'Vehicle Category', 'GVWR Class', 'Model Year', 'Fuel Technology']",14787.89176,,
['Fuel Type'],"['Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'CPI']",14790.50669,,
['Vehicle Category'],"['Number of Vehicles Registered at the Same Address', 'Region', 'Fuel Technology', 'Fuel Type', 'GVWR Class']",14846.48799,,
"['Number of Vehicles Registered at the Same Address', 'GVWR Class']","['Fuel Technology', 'Fuel Type', 'Vehicle Category']",14876.69826,,
['GVWR Class'],"['Vehicle Category', 'Fuel Technology', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",14879.84527,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'Vehicle Category', 'Region', 'CPI', 'Model Year']",15084.9804,,
['Number of Vehicles Registered at the Same Address'],"['Vehicle Category', 'GVWR Class', 'Region', 'Fuel Type', 'Electric Mile Range', 'Fuel Technology']",15101.19671,,
"['GVWR Class', 'Vehicle Category']","['Fuel Type', 'Fuel Technology', 'Electric Mile Range']",15149.31114,,
"['Vehicle Category', 'Fuel Technology']","['GVWR Class', 'Electric Mile Range', 'Fuel Type']",15162.43284,,
['Region'],"['Fuel Technology', 'GVWR Class', 'Electric Mile Range', 'Vehicle Category', 'Fuel Type']",15244.78184,,
"['Electric Mile Range', 'Fuel Type']","['CPI', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Vehicle Category']",15315.61944,,
"['Region', 'Fuel Type']","['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Electric Mile Range', 'Fuel Technology']",15338.80506,,
['Fuel Type'],"['CPI', 'Region', 'Vehicle Category']",15405.97496,,
['Region'],"['CPI', 'Vehicle Category', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",15447.31783,,
"['Region', 'Fuel Technology']","['Fuel Type', 'Vehicle Category', 'GVWR Class']",15468.75432,,
['Electric Mile Range'],"['Region', 'Fuel Type', 'GVWR Class', 'Vehicle Category']",15488.99985,,
['Electric Mile Range'],"['Fuel Technology', 'Region', 'Vehicle Category', 'GVWR Class', 'Fuel Type']",15505.86195,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['Vehicle Category', 'Electric Mile Range', 'Fuel Technology', 'Fuel Type']",15516.03424,,
['Number of Vehicles Registered at the Same Address'],"['Electric Mile Range', 'Fuel Type', 'Region', 'Vehicle Category']",15516.49759,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'Vehicle Category', 'CPI', 'Region']",15557.94573,,
"['Electric Mile Range', 'Fuel Type']","['Vehicle Category', 'Model Year', 'Fuel Technology']",15566.81283,,
['Fuel Type'],"['Electric Mile Range', 'Vehicle Category', 'Fuel Technology']",15588.27598,,
['Fuel Type'],"['Electric Mile Range', 'Vehicle Category', 'Fuel Technology', 'Region']",15588.27598,,
['Region'],"['Fuel Type', 'Vehicle Category', 'Electric Mile Range', 'Fuel Technology']",15593.56678,,
['Vehicle Category'],"['Number of Vehicles Registered at the Same Address', 'Region', 'Fuel Type', 'GVWR Class']",15902.26255,,
['Vehicle Category'],"['CPI', 'Number of Vehicles Registered at the Same Address', 'Region', 'GVWR Class', 'Fuel Technology', 'Model Year']",16027.88673,,
"['GVWR Class', 'Vehicle Category']","['Region', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Electric Mile Range', 'Fuel Technology']",16055.96996,,
"['GVWR Class', 'Fuel Technology']","['Model Year', 'Vehicle Category', 'Electric Mile Range', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Region']",16078.65058,,
"['Vehicle Category', 'GVWR Class']","['CPI', 'Model Year', 'Electric Mile Range']",16090.45875,,
['GVWR Class'],"['Electric Mile Range', 'CPI', 'Region', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Vehicle Category']",16108.06961,,
"['Region', 'Vehicle Category']","['Model Year', 'CPI', 'Fuel Technology', 'GVWR Class']",16117.32929,,
['Vehicle Category'],"['Model Year', 'Electric Mile Range', 'GVWR Class', 'CPI']",16125.9169,,
['Vehicle Category'],"['Fuel Type', 'Region', 'GVWR Class']",16136.04041,,
"['Vehicle Category', 'Region']","['Fuel Technology', 'GVWR Class', 'CPI', 'Model Year', 'Electric Mile Range']",16141.20248,,
['Vehicle Category'],"['Fuel Technology', 'CPI', 'GVWR Class', 'Electric Mile Range', 'Model Year']",16152.09171,,
['GVWR Class'],"['Vehicle Category', 'CPI', 'Region', 'Electric Mile Range', 'Model Year']",16165.97317,,
"['GVWR Class', 'Vehicle Category']","['Number of Vehicles Registered at the Same Address', 'Region', 'Fuel Technology', 'CPI']",16278.06078,,
"['Vehicle Category', 'Region']","['Electric Mile Range', 'GVWR Class', 'Fuel Technology', 'CPI']",16308.23812,,
['Vehicle Category'],"['CPI', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",16317.28017,,
['Region'],"['Electric Mile Range', 'Model Year', 'CPI', 'GVWR Class', 'Vehicle Category', 'Fuel Technology']",16327.49297,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Technology']","['GVWR Class', 'Region', 'Vehicle Category', 'Model Year', 'CPI']",16393.02625,,
['Vehicle Category'],"['Model Year', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Fuel Technology']",16431.92839,,
['Fuel Technology'],"['CPI', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'Model Year', 'Vehicle Category', 'Region', 'GVWR Class']",16447.87241,,
"['Electric Mile Range', 'Fuel Technology']","['GVWR Class', 'Model Year', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'CPI']",16452.36473,,
"['Vehicle Category', 'Region']","['Model Year', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'Fuel Technology']",16464.26176,,
